ÏñÔª	¹âÇ¿
1	223
2	223
3	222
4	222
5	221
6	222
7	221
8	221
9	221
10	221
11	221
12	222
13	223
14	222
15	222
16	223
17	222
18	221
19	221
20	221
21	219
22	220
23	219
24	219
25	219
26	219
27	217
28	217
29	217
30	216
31	217
32	219
33	219
34	220
35	221
36	218
37	219
38	218
39	218
40	216
41	216
42	215
43	216
44	216
45	217
46	216
47	217
48	217
49	216
50	214
51	214
52	214
53	214
54	215
55	214
56	214
57	213
58	214
59	213
60	212
61	213
62	213
63	214
64	214
65	214
66	215
67	216
68	215
69	217
70	218
71	218
72	219
73	220
74	219
75	219
76	221
77	219
78	218
79	218
80	218
81	219
82	218
83	217
84	217
85	217
86	217
87	217
88	217
89	217
90	217
91	218
92	219
93	219
94	218
95	220
96	220
97	221
98	221
99	221
100	223
101	223
102	224
103	225
104	225
105	224
106	223
107	223
108	222
109	221
110	220
111	221
112	219
113	219
114	219
115	218
116	219
117	220
118	220
119	220
120	220
121	220
122	219
123	220
124	219
125	220
126	219
127	220
128	221
129	220
130	220
131	220
132	220
133	221
134	220
135	219
136	221
137	220
138	221
139	219
140	220
141	221
142	220
143	221
144	221
145	219
146	219
147	218
148	218
149	217
150	216
151	214
152	213
153	210
154	207
155	202
156	198
157	195
158	191
159	187
160	184
161	178
162	174
163	167
164	161
165	151
166	140
167	130
168	119
169	111
170	102
171	 91
172	 83
173	 77
174	 74
175	 73
176	 74
177	 77
178	 79
179	 84
180	 87
181	 88
182	 89
183	 92
184	 97
185	101
186	108
187	115
188	120
189	127
190	138
191	150
192	160
193	171
194	186
195	197
196	206
197	209
198	211
199	211
200	210
201	208
202	207
203	205
204	203
205	198
206	193
207	188
208	182
209	174
210	166
211	159
212	148
213	138
214	127
215	118
216	108
217	 99
218	 89
219	 81
220	 76
221	 72
222	 70
223	 72
224	 73
225	 77
226	 82
227	 84
228	 87
229	 91
230	 96
231	103
232	109
233	116
234	124
235	135
236	148
237	162
238	180
239	193
240	202
241	206
242	206
243	206
244	211
245	214
246	216
247	216
248	217
249	215
250	215
251	214
252	216
253	217
254	218
255	218
256	220
257	220
258	222
259	222
260	222
261	221
262	221
263	221
264	221
265	222
266	222
267	223
268	224
269	225
270	226
271	226
272	226
273	226
274	226
275	227
276	229
277	228
278	227
279	227
280	227
281	227
282	226
283	226
284	225
285	225
286	224
287	223
288	221
289	220
290	217
291	215
292	214
293	212
294	210
295	206
296	205
297	200
298	198
299	192
300	185
301	178
302	168
303	158
304	143
305	130
306	116
307	103
308	 91
309	 81
310	 76
311	 75
312	 75
313	 76
314	 76
315	 75
316	 74
317	 73
318	 73
319	 74
320	 76
321	 79
322	 84
323	 90
324	 96
325	103
326	111
327	121
328	131
329	141
330	155
331	169
332	178
333	187
334	193
335	196
336	199
337	201
338	201
339	200
340	200
341	199
342	198
343	196
344	192
345	187
346	178
347	169
348	156
349	141
350	130
351	119
352	109
353	 99
354	 90
355	 85
356	 77
357	 70
358	 66
359	 63
360	 62
361	 60
362	 58
363	 58
364	 58
365	 60
366	 59
367	 59
368	 57
369	 56
370	 55
371	 57
372	 58
373	 58
374	 59
375	 58
376	 58
377	 58
378	 59
379	 60
380	 60
381	 60
382	 58
383	 59
384	 59
385	 60
386	 61
387	 62
388	 64
389	 66
390	 68
391	 72
392	 76
393	 80
394	 84
395	 89
396	 96
397	101
398	110
399	120
400	131
401	143
402	153
403	164
404	174
405	185
406	194
407	200
408	205
409	209
410	210
411	212
412	213
413	214
414	217
415	218
416	217
417	219
418	217
419	216
420	215
421	215
422	215
423	215
424	217
425	215
426	215
427	214
428	212
429	209
430	207
431	204
432	199
433	194
434	186
435	176
436	164
437	153
438	139
439	125
440	112
441	101
442	 90
443	 78
444	 70
445	 64
446	 62
447	 60
448	 59
449	 59
450	 60
451	 60
452	 59
453	 60
454	 58
455	 58
456	 57
457	 55
458	 55
459	 56
460	 57
461	 57
462	 59
463	 59
464	 59
465	 59
466	 59
467	 60
468	 59
469	 59
470	 61
471	 61
472	 60
473	 60
474	 61
475	 61
476	 60
477	 60
478	 60
479	 61
480	 64
481	 67
482	 71
483	 77
484	 85
485	 93
486	102
487	112
488	124
489	136
490	149
491	164
492	176
493	187
494	192
495	196
496	197
497	197
498	195
499	194
500	193
501	190
502	184
503	177
504	169
505	157
506	146
507	131
508	115
509	101
510	 86
511	 74
512	 68
513	 62
514	 59
515	 56
516	 55
517	 54
518	 54
519	 54
520	 54
521	 54
522	 54
523	 54
524	 55
525	 54
526	 54
527	 55
528	 55
529	 55
530	 55
531	 56
532	 56
533	 56
534	 55
535	 54
536	 53
537	 54
538	 55
539	 55
540	 54
541	 54
542	 53
543	 53
544	 56
545	 56
546	 57
547	 58
548	 60
549	 63
550	 66
551	 69
552	 71
553	 74
554	 77
555	 81
556	 87
557	 94
558	104
559	113
560	123
561	137
562	150
563	162
564	174
565	182
566	191
567	195
568	195
569	195
570	193
571	192
572	189
573	185
574	180
575	173
576	163
577	152
578	138
579	124
580	109
581	 95
582	 81
583	 72
584	 64
585	 60
586	 57
587	 58
588	 59
589	 61
590	 62
591	 61
592	 59
593	 58
594	 58
595	 56
596	 55
597	 55
598	 55
599	 56
600	 56
601	 56
602	 56
603	 55
604	 56
605	 55
606	 56
607	 58
608	 61
609	 62
610	 64
611	 63
612	 63
613	 62
614	 61
615	 61
616	 62
617	 63
618	 66
619	 69
620	 71
621	 74
622	 78
623	 84
624	 90
625	 99
626	109
627	120
628	131
629	146
630	159
631	174
632	189
633	199
634	206
635	211
636	214
637	213
638	214
639	214
640	214
641	215
642	215
643	215
644	215
645	217
646	215
647	216
648	215
649	216
650	218
651	218
652	218
653	220
654	222
655	221
656	221
657	220
658	219
659	217
660	215
661	214
662	211
663	208
664	205
665	201
666	195
667	188
668	181
669	174
670	164
671	151
672	138
673	122
674	108
675	 96
676	 85
677	 74
678	 67
679	 61
680	 58
681	 56
682	 55
683	 55
684	 55
685	 55
686	 55
687	 56
688	 58
689	 58
690	 59
691	 58
692	 59
693	 58
694	 58
695	 57
696	 56
697	 55
698	 54
699	 54
700	 55
701	 55
702	 56
703	 57
704	 57
705	 58
706	 59
707	 58
708	 59
709	 61
710	 62
711	 64
712	 67
713	 69
714	 74
715	 78
716	 84
717	 90
718	 95
719	103
720	111
721	120
722	130
723	140
724	151
725	165
726	177
727	187
728	194
729	198
730	198
731	197
732	195
733	193
734	189
735	182
736	176
737	170
738	157
739	143
740	126
741	107
742	 92
743	 79
744	 71
745	 65
746	 61
747	 59
748	 57
749	 56
750	 55
751	 54
752	 55
753	 56
754	 56
755	 55
756	 55
